📺央视频道,#genre#
CCTV-1,http://119.134.202.156:8889/rtp/239.77.0.86:5146
CCTV-2,http://116.233.38.118:8888/rtp/233.18.204.68:5140
CCTV-3,http://119.134.202.156:8889/rtp/239.77.0.169:5146
CCTV-4,http://116.233.38.118:8888/rtp/233.18.204.70:5140
CCTV-5,http://116.233.38.118:8888/rtp/233.18.204.71:5140
CCTV-5+,http://119.134.202.156:8889/rtp/239.77.0.87:5146
CCTV-6,http://119.134.202.156:8889/rtp/239.77.0.171:5146
CCTV-7,http://180.115.175.71:8005/rtp/239.49.8.132:6000
CCTV-8,http://116.233.38.118:8888/rtp/233.18.204.74:5140
CCTV-9,http://116.233.38.118:8888/rtp/233.18.204.75:5140
CCTV-10,http://119.134.202.156:8889/rtp/239.77.1.113:5146
CCTV-11,http://113.88.132.50:10000/rtp/239.77.1.108:5146
CCTV-12,http://116.233.38.118:8888/rtp/233.18.204.78:5140
CCTV-13,http://116.233.38.118:8888/rtp/233.18.204.79:5140
CCTV-14,http://119.134.202.156:8889/rtp/239.77.1.161:5146
CCTV-15,http://119.134.202.156:8889/rtp/239.77.1.239:5146
CCTV-16,http://116.233.38.118:8888/rtp/233.18.204.82:5140
CCTV-17,http://116.233.38.118:8888/rtp/233.18.204.83:5140
CETV-1,http://116.233.38.118:8888/rtp/233.18.204.98:5140
CETV-4,http://119.134.202.156:8889/rtp/239.253.43.114:5146
CGTNHD,http://218.86.143.57:9527/rtp/238.255.2.207:5999
CGTN阿语HD,http://218.86.143.57:9527/rtp/238.255.2.211:5999
CGTN法语HD,http://218.86.143.57:9527/rtp/238.255.2.208:5999
CGTN纪录HD,http://171.83.34.250:8888/rtp/239.69.1.233:11040
CGTN西语HD,http://171.83.34.250:8888/rtp/239.69.1.234:11046
CHC动作电影HD,http://171.83.34.250:8888/rtp/239.69.1.242:11094
CHC家庭影院HD,http://171.83.34.250:8888/rtp/239.69.1.243:11100
CHC影迷电影HD,http://180.165.61.10:8001/rtp/233.18.204.175:5140

📡卫视频道,#genre#
广东卫视,http://180.115.175.71:8005/rtp/239.49.8.143:6000
浙江卫视,http://119.134.202.156:8889/rtp/239.77.1.33:5146
湖南卫视,http://119.134.202.156:8889/rtp/239.77.1.5:5146
北京卫视,http://116.233.38.118:8888/rtp/233.18.204.210:5140
湖北卫视,http://119.134.202.156:8889/rtp/239.77.0.128:5146
黑龙江卫视,http://119.134.202.156:8889/rtp/239.77.1.179:5146
安徽卫视,http://116.233.38.118:8888/rtp/233.18.204.93:5140
重庆卫视,http://119.134.202.156:8889/rtp/239.77.0.182:5146
东方卫视,http://119.134.202.156:8889/rtp/239.77.0.98:5146
东南卫视,http://119.134.202.156:8889/rtp/239.77.0.146:5146
甘肃卫视,http://183.128.66.146:9999/rtp/233.50.200.163:5140
广西卫视,http://116.233.38.118:8888/rtp/233.18.204.107:5140
贵州卫视,http://183.128.66.146:9999/rtp/233.50.200.139:5140
海南卫视,http://119.134.202.156:8889/rtp/239.253.43.35:5146
河北卫视,http://218.86.143.57:9527/rtp/238.255.2.77:5999
河南卫视,http://119.134.202.156:8889/rtp/239.77.0.17:5146
吉林卫视,http://116.233.38.118:8888/rtp/233.18.204.108:5140
江苏卫视,http://116.233.38.118:8888/rtp/233.18.204.85:5140
江西卫视,http://116.233.38.118:8888/rtp/233.18.204.95:5140
辽宁卫视,http://116.233.38.118:8888/rtp/233.18.204.96:5140
内蒙古卫视,http://42.58.141.135:9003/hls/39/index.m3u8
宁夏卫视,http://116.233.38.118:8888/rtp/233.18.204.230:5140
青海卫视,http://119.134.202.156:8889/rtp/239.253.43.125:5146
山东卫视,http://116.233.38.118:8888/rtp/233.18.204.91:5140
山西卫视,http://116.233.38.118:8888/rtp/233.18.204.211:5140
陕西卫视,http://171.213.47.123:8888/rtp/239.94.0.92:5140
四川卫视,http://116.233.38.118:8888/rtp/233.18.204.99:5140
深圳卫视,http://119.134.202.156:8889/rtp/239.77.0.130:5146
三沙卫视,http://116.233.38.118:8888/rtp/233.18.204.172:5140
天津卫视,http://119.134.202.156:8889/rtp/239.77.0.97:5146
西藏卫视,http://116.233.38.118:8888/rtp/233.18.204.222:5140
新疆卫视,http://119.134.202.156:8889/rtp/239.253.43.202:5146
云南卫视,http://119.134.202.156:8889/rtp/239.253.43.37:5146

☘️高清频道,#genre#
安徽卫视HD,http://171.83.34.250:8888/rtp/239.69.1.70:10060
兵器科技HD,http://119.134.202.156:8889/rtp/239.253.43.9:5146
