📺央视频道,#genre#
CCTV-1,http://27.18.35.149:6868/rtp/239.254.96.96:8550
CCTV-2,http://58.48.135.97:8288/rtp/239.69.1.102:10250
CCTV-3,http://58.48.135.97:8288/rtp/239.69.1.122:10370
CCTV-4,http://171.113.183.50:8686/rtp/239.69.1.138:10466
CCTV-5,http://58.48.135.97:8288/rtp/239.69.1.123:10376
CCTV-5+,http://58.48.135.97:8288/rtp/239.254.96.234:9484
CCTV-6,http://27.18.35.149:6868/rtp/239.69.1.124:10382
CCTV-7,http://27.18.35.149:6868/rtp/239.69.1.103:10256
CCTV-8,http://27.19.67.44:8888/rtp/239.69.1.125:10388
CCTV-9,http://27.18.35.149:6868/rtp/239.69.1.104:10262
CCTV-10,http://27.18.35.149:6868/rtp/239.69.1.105:10268
CCTV-11,http://171.83.2.139:1234/rtp/239.69.1.154:10560
CCTV-12,http://27.18.35.149:6868/rtp/239.69.1.106:10274
CCTV-13,http://27.18.35.149:6868/rtp/239.254.96.161:9040
CCTV-14,http://27.18.35.149:6868/rtp/239.69.1.107:10280
CCTV-15,http://27.18.35.149:6868/rtp/239.69.1.155:10566
CCTV-16,http://27.19.67.44:8888/rtp/239.69.1.247:11124
CCTV-17,http://58.48.135.97:8288/rtp/239.69.1.152:10548
CETV-1,http://58.48.135.97:8288/rtp/239.69.1.110:10298
CETV-4,http://58.48.135.97:8288/rtp/239.69.2.29:11328
CGTNHD,http://58.48.135.97:8288/rtp/239.254.96.175:9124
CGTN阿语HD,http://27.18.35.149:6868/rtp/239.69.1.221:10968
CGTN法语HD,http://27.18.35.149:6868/rtp/239.69.1.235:11052
CGTN纪录HD,http://27.18.35.149:6868/rtp/239.69.1.233:11040
CGTN西语HD,http://27.18.35.149:6868/rtp/239.69.1.234:11046
CHC动作电影HD,http://58.48.135.97:8288/rtp/239.69.1.242:11094
CHC家庭影院HD,http://27.18.35.149:6868/rtp/239.69.1.243:11100
CHC影迷电影HD,http://58.48.135.97:8288/rtp/239.69.1.241:11088

📡卫视频道,#genre#
